mes,publico,estado,n,compras_30d,conversao_30d,ic95_inf_30d,ic95_sup_30d,compras_90d,conversao_90d,ic95_inf_90d,ic95_sup_90d,compras_179d,conversao_179d,ic95_inf_179d,ic95_sup_179d
2025-10-01,Não-membro,Lead engajado,5477,19,0.003469052400949425,0.00222202470494845,0.005412131334153283,77,0.014058791309110827,0.01126387497050325,0.017534913887032794,121,0.022092386342888442,0.018521596549648918,0.02633312065290625
2025-10-01,Não-membro,Oportunidade,384,12,0.03125,0.017964865465101176,0.0538211420183663,32,0.08333333333333333,0.05964551076927996,0.11527538477158003,45,0.1171875,0.08874416456198594,0.15321440821617918
2025-10-01,Não-membro,Prospect,377,8,0.021220159151193633,0.010790821643101463,0.04130852884802136,12,0.03183023872679045,0.018300117109575652,0.05480534195792119,26,0.06896551724137931,0.04749498098376401,0.09913185810104186
2025-11-01,Ex-membro,Contato,10213,143,0.0140017624596103,0.011898799193591042,0.016470202827542375,195,0.019093312444923138,0.01661428049944558,0.02193399257938927,416,0.04073239988250269,0.03706820996880037,0.04474196510526556
2025-11-01,Ex-membro,Lead engajado,2021,119,0.058881741712023754,0.04943102908747156,0.070006264180308,156,0.07718951014349332,0.06633895758238514,0.08964440427663631,263,0.1301335972290945,0.11616367435399788,0.145506966944561
2025-11-01,Ex-membro,Oportunidade,204,27,0.1323529411764706,0.09257876844272825,0.18571778046759577,39,0.19117647058823528,0.1431200696215402,0.2506490314631319,53,0.25980392156862747,0.20445927663377414,0.32402780198763753
2025-11-01,Não-membro,Contato,78766,258,0.0032755249727039588,0.0028999868336208397,0.003699513551816015,371,0.004710154127415382,0.004255544933663474,0.005213073827656974,702,0.008912474925729375,0.008279644804401569,0.009593205659728345
2025-11-01,Não-membro,Lead engajado,7120,58,0.008146067415730337,0.006307162904089175,0.010515445841169846,78,0.010955056179775281,0.008787225289704693,0.013650331435307271,147,0.020646067415730336,0.017592382235019226,0.024216745020140405
2025-11-01,Não-membro,Oportunidade,366,24,0.06557377049180328,0.044457665129799206,0.09571477626132607,34,0.09289617486338798,0.06723887415949881,0.12701077217558085,48,0.13114754098360656,0.10036279301699584,0.16959494023961996
2025-11-01,Não-membro,Prospect,338,6,0.01775147928994083,0.008160306722298756,0.03818162474537516,10,0.029585798816568046,0.01614813517870083,0.05359644827749642,19,0.05621301775147929,0.03627877508545778,0.08612177534491698
2025-12-01,Ex-membro,Contato,10252,27,0.0026336324619586422,0.0018106733035346974,0.003829195393345332,162,0.015801794771751854,0.013562761418129368,0.01840356692297918,351,0.03423722200546235,0.03088807534903963,0.03793529649398883
2025-12-01,Ex-membro,Lead engajado,1988,30,0.015090543259557344,0.010590692962524136,0.02146085169845694,103,0.05181086519114688,0.04290307364335684,0.06244747230367029,174,0.0875251509054326,0.07588424253278259,0.10075711288423453
2025-12-01,Ex-membro,Oportunidade,217,10,0.04608294930875576,0.02522080989471242,0.08273711107669876,25,0.1152073732718894,0.07926311383741758,0.16453877855966706,43,0.19815668202764977,0.15057254020370459,0.25624211790418816
2025-12-01,Não-membro,Contato,80624,61,0.0007565985314546537,0.0005891069398042822,0.0009716640978765776,211,0.002617086723556261,0.002287331842937383,0.0029942382890354906,619,0.007677614606072633,0.007098120848865666,0.008304022819581485
2025-12-01,Não-membro,Lead engajado,5348,7,0.0013089005235602095,0.0006341749606139119,0.0026995559928582533,37,0.006918474195961107,0.0050236223871882695,0.009521202706289833,77,0.014397905759162303,0.011535923126288147,0.01795702748719787
